learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,115,0.9,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,116,4.3,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,117,1.9,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,118,12.0,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,119,0.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,120,-0.6,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,121,5.0,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,122,3.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,123,2.5,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,124,6.0,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,125,-5.2,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,126,0.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,127,8.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,128,5.0,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,129,-2.8,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,130,0.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,131,1.6,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,132,-0.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,133,2.2,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,134,3.1,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,135,6.6,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,136,1.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,137,9.8,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,138,14.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,139,-2.0,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,140,7.0,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,141,-1.9,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,142,-1.2,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,143,1.0,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,144,-0.1,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,145,-1.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,146,-1.2,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,147,4.5,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,148,6.4,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,149,1.6,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,150,4.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,151,8.6,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,152,-1.1,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,153,-2.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,154,10.5,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,155,5.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,156,3.9,7.0,
