learn_type,algo_type,model,num_hp,eval_type,iteration,hp1,hp2,eval_score
Reinforcement Learning,Gaussian,Bandit,1,Score,58,0.025,,-3.1
Reinforcement Learning,Gaussian,Bandit,1,Score,59,0.001,,0.4
Reinforcement Learning,Gaussian,Bandit,1,Score,60,1.001,,-1.2
Reinforcement Learning,Gaussian,Bandit,1,Score,59,0.07,,-0.9
Reinforcement Learning,Gaussian,Bandit,1,Score,60,1.001,,-0.6
Reinforcement Learning,Gaussian,Bandit,1,Score,61,0.001,,1.6
Reinforcement Learning,Gaussian,Bandit,1,Score,60,0.047,,-1.0
Reinforcement Learning,Gaussian,Bandit,1,Score,61,0.001,,2.9
Reinforcement Learning,Gaussian,Bandit,1,Score,62,1.001,,0.9
Reinforcement Learning,Gaussian,Bandit,1,Score,61,0.065,,0.0
