trial_number,learning_rate,final_score,,,,,,,,,,,,,,,,,
133,0.0005,19.05948592,,,,,,,,,,,,,,,,,
147,0.0005,13.8520532,,,,,,,,,,,,,,,,,
150,0.0005,26.67773106,,,,,,,,,,,,,,,,,
151,0.0005,17.4455651,,,,,,,,,,,,,,,,,
157,0.0005,25.43306349,,,,,,,,,,,,,,,,,
161,0.0005,33.42222561,,,,,,,,,,,,,,,,,
168,0.0005,18.93299894,,,,,,,,,,,,,,,,,
170,0.0005,30.05336094,,,,,,,,,,,,,,,,,
171,0.0005,12.84200241,,,,,,,,,,,,,,,,,
183,0.0005,19.08382145,,,,,,,,,,,,,,,,,
184,0.0005,16.56425561,,,,,,,,,,,,,,,,,
